user_id,team1,team2,pick
6,"Kent St.","Old Dominion","Kent St."
6,Towson,"Northern Iowa","Northern Iowa"
6,"UC Irvine","Air Force","UC Irvine"
6,"Penn St.",Colorado,"Penn St."
6,Harvard,"SIU Edwardsville","SIU Edwardsville"
6,Louisiana,"UC Davis","UC Davis"
6,"Seton Hall",Clemson,"Seton Hall"
6,SMU,Nevada,SMU
6,Bryant,"Utah Tech",Bryant
6,Missouri,"Saint Louis",Missouri
6,Iowa,"St. Bonaventure",Iowa
6,Purdue,"Michigan St.","Michigan St."
6,Ohio,"Fresno St.","Fresno St."
6,UNLV,Akron,UNLV
6,"New Mexico",Georgia,Georgia
6,"Eastern Kentucky",Duquesne,"Eastern Kentucky"
6,Richmond,"Southern Miss",Richmond
6,Stanford,Nebraska,Nebraska
6,Hawaii,"Louisiana Tech","Louisiana Tech"
6,Rutgers,"St. John's","St. John's"
6,Maryland,Creighton,Maryland
6,"South Dakota",IUPUI,"South Dakota"
6,Northwestern,BYU,BYU
6,Auburn,TCU,TCU
6,"Texas St.","Northern Kentucky","Texas St."
6,"Coppin St.","Green Bay","Coppin St."
6,"South Dakota St.","Boston College","South Dakota St."
6,Southern,"North Carolina A&T","North Carolina A&T"
6,Indiana,Arizona,Indiana
6,"Jackson St.","Georgia St.","Georgia St."
6,Gonzaga,Oregon,Gonzaga
7,American,"Southern Utah","Southern Utah"
7,"Michigan St.","North Texas","Michigan St."
7,"Georgia St.",Niagara,"Georgia St."
7,Connecticut,Florida,Florida
7,"South Dakota St.","Weber St.","South Dakota St."
7,"Miami FL",Dayton,Dayton
7,"Morehead St.",Merrimack,Merrimack
7,"San Jose St.","Boston College","San Jose St."
7,VCU,Nebraska,Nebraska
7,"Ohio St.",Indiana,"Ohio St."
7,Kansas,"Mississippi St.",Kansas
7,"Old Dominion",Richmond,Richmond
7,"Florida Gulf Coast","Southern Miss","Florida Gulf Coast"
7,Texas,"San Diego St.",Texas
7,SMU,"James Madison",SMU
7,"UC Irvine","Florida St.","Florida St."
7,"Eastern Kentucky",Temple,"Eastern Kentucky"
